10/700 | Acc: 0.600
20/700 | Acc: 0.700
30/700 | Acc: 0.767
40/700 | Acc: 0.650
50/700 | Acc: 0.620
60/700 | Acc: 0.583
70/700 | Acc: 0.500
80/700 | Acc: 0.463
90/700 | Acc: 0.444
100/700 | Acc: 0.420
110/700 | Acc: 0.382
120/700 | Acc: 0.350
130/700 | Acc: 0.339
140/700 | Acc: 0.329
150/700 | Acc: 0.327
160/700 | Acc: 0.319
170/700 | Acc: 0.318
180/700 | Acc: 0.311
190/700 | Acc: 0.321
200/700 | Acc: 0.340
210/700 | Acc: 0.362
220/700 | Acc: 0.368
230/700 | Acc: 0.374
240/700 | Acc: 0.375
250/700 | Acc: 0.384
260/700 | Acc: 0.392
270/700 | Acc: 0.404
280/700 | Acc: 0.414
290/700 | Acc: 0.417
300/700 | Acc: 0.437
310/700 | Acc: 0.442
320/700 | Acc: 0.450
330/700 | Acc: 0.455
340/700 | Acc: 0.459
350/700 | Acc: 0.451
360/700 | Acc: 0.444
370/700 | Acc: 0.443
380/700 | Acc: 0.442
390/700 | Acc: 0.449
400/700 | Acc: 0.453
410/700 | Acc: 0.451
420/700 | Acc: 0.455
430/700 | Acc: 0.454
440/700 | Acc: 0.457
450/700 | Acc: 0.460
460/700 | Acc: 0.457
470/700 | Acc: 0.453
480/700 | Acc: 0.454
490/700 | Acc: 0.449
500/700 | Acc: 0.442
510/700 | Acc: 0.439
520/700 | Acc: 0.437
530/700 | Acc: 0.438
540/700 | Acc: 0.433
550/700 | Acc: 0.431
560/700 | Acc: 0.423
570/700 | Acc: 0.428
580/700 | Acc: 0.424
590/700 | Acc: 0.425
600/700 | Acc: 0.422
610/700 | Acc: 0.418
620/700 | Acc: 0.413
630/700 | Acc: 0.410
640/700 | Acc: 0.403
650/700 | Acc: 0.402
660/700 | Acc: 0.409
670/700 | Acc: 0.413
680/700 | Acc: 0.421
690/700 | Acc: 0.422
700/700 | Acc: 0.420
